StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500214055,6023,4613,1410,11175,7114,4061,67,67,0
500214056,346,281,65,16591,11478,5113,328,35,293
500214057,4256,3678,578,12988,8112,4876,21,4,17
500214059,1998,1748,250,14334,9661,4673,933,385,548
500214060,1743,1464,279,14775,9684,5091,747,646,101
500214062,2240,2009,231,14736,9618,5118,289,167,122
500215001,2330,1209,1121,14936,10586,4350,0,0,0
500215002,752,254,498,16249,11354,4895,265,187,78
500215003,1516,1071,445,15471,10462,5009,279,262,17
500215004,1064,627,437,15927,11089,4838,275,79,196
500215005,9654,6541,3113,7612,5254,2358,8991,5968,3023
500215006,2430,1803,627,14094,9373,4721,742,619,123
500215007,771,438,333,15607,10692,4915,888,665,223
500216001,4212,3237,975,12602,8257,4345,452,301,151
500216002,1619,1004,615,15638,10782,4856,9,9,0
500216003,2288,2079,209,14471,9547,4924,507,169,338
500216004,1383,1055,328,15686,10568,5118,197,172,25
500216005,1644,1221,423,14978,9940,5038,644,634,10
500216006,3013,2194,819,14162,9585,4577,91,16,75
500216007,1651,1363,288,14440,9499,4941,1175,933,242
500216008,4154,2701,1453,13057,9044,4013,55,50,5
500216009,3517,2795,722,13656,8955,4701,93,45,48
500216010,2953,1918,1035,13569,9527,4042,744,350,394
500216011,3451,2720,731,13698,9066,4632,117,9,108
500216012,295,134,161,16908,11608,5300,63,53,10
500216013,5043,3717,1326,11569,7568,4001,654,510,144
500216014,1637,871,766,15628,10924,4704,1,0,1
500216015,1865,1665,200,14912,9767,5145,489,363,126
500216016,2638,2101,537,14320,9538,4782,308,156,152
500216017,1996,1593,403,15244,10176,5068,26,26,0
500216018,601,548,53,16516,11144,5372,149,103,46
500216019,1756,1410,346,15327,10276,5051,183,109,74
500216020,5272,3993,1279,11636,7513,4123,358,289,69
500216021,5932,4505,1427,10909,6899,4010,425,391,34
500216022,1530,1329,201,15565,10409,5156,171,57,114
500216023,3271,2854,417,13851,8818,5033,144,123,21
500216024,2305,1562,743,14961,10233,4728,0,0,0
500216025,5177,3800,1377,11779,7733,4046,310,262,48
500216026,2685,2094,591,14484,9640,4844,97,61,36
500216027,2576,2055,521,14316,9440,4876,374,300,74
500216028,3019,2346,673,14073,9343,4730,174,106,68
500216029,2994,2618,376,14120,9029,5091,152,148,4
500216030,17266,11795,5471,0,0,0,0,0,0
500216031,3230,2634,596,13283,8509,4774,753,652,101
500216032,2520,2212,308,14585,9462,5123,161,121,40
500216033,1273,866,407,15319,10465,4854,674,464,210
500216034,6219,4955,1264,11038,6840,4198,9,0,9
500216035,1626,987,639,14980,10188,4792,660,620,40
